Column1;Column2;Column3
Kristiinankaupunki;62.274742151°N,;21.378547080°E
Kruunupyy;63.727817733°N,;23.033771859°E
Kuhmo;64.125288629°N,;29.524367548°E
Kuhmoinen;61.562425983°N,;25.175665612°E
Kumlinge;60.259692477°N,;20.778313171°E
Kuopio;62.892982923°N,;27.688934744°E
Kuortane;62.807410615°N,;23.506393077°E
Kurikka;62.618893949°N,;22.398773710°E
Kustavi;60.546714695°N,;21.358881644°E
Kuusamo;65.964424921°N,;29.188616060°E
Kyyjärvi;63.043410994°N,;24.566437311°E
Kärkölä;60.868376480°N,;25.273377105°E
Kärsämäki;63.980587073°N,;25.759667454°E
Kökar;59.920278312°N,;20.908372757°E
Lahti;60.980380564°N,;25.654987962°E
Laihia;62.977956713°N,;22.011173105°E
Laitila;60.875860346°N,;21.690233379°E
Lapinjärvi;60.624363429°N,;26.201405459°E
Lapinlahti;63.364517752°N,;27.387415475°E
Lappajärvi;63.217602823°N,;23.632849978°E
Lappeenranta;61.058749724°N,;28.187689913°E
Lapua;62.970168655°N,;23.007570333°E
Laukaa;62.413528005°N,;25.957777304°E
Lemi;61.061522998°N,;27.804960542°E
Lemland;60.068453521°N,;20.099599382°E
Lempäälä;61.312525626°N,;23.755748116°E
Leppävirta;62.491829038°N,;27.788663006°E
Lestijärvi;63.524801746°N,;24.665803320°E
Lieksa;63.317804542°N,;30.028096821°E
Lieto;60.506876265°N,;22.455932813°E
Liminka;64.809794749°N,;25.411946267°E
Liperi;62.534480932°N,;29.367861963°E
Lohja;60.250916253°N,;24.065782053°E
Loimaa;60.851362252°N,;23.058593858°E
Loppi;60.717556416°N,;24.443566270°E
Loviisa;60.457732981°N,;26.223660363°E
Luhanka;61.796805591°N,;25.703825319°E
Lumijoki;64.837617135°N,;25.187125981°E
Lumparland;60.117402400°N,;20.258892131°E
Luoto;63.755494342°N,;22.746684981°E
Luumäki;60.920924640°N,;27.559740129°E
Maalahti;62.942910055°N,;21.552851475°E
Maarianhamina;60.101520836°N,;19.942267834°E
Marttila;60.585411972°N,;22.898967272°E
Masku;60.570991977°N,;22.098688118°E
Merijärvi;64.297718020°N,;24.441848134°E
Merikarvia;61.860339690°N,;21.505430059°E
Miehikkälä;60.669224483°N,;27.696366399°E
Mikkeli;61.687726895°N,;27.273224374°E
Muhos;64.808918576°N,;25.990050022°E
Multia;62.408697501°N,;24.794621331°E
Muonio;67.959275326°N,;23.677223262°E
Mustasaari;63.114054101°N,;21.680745161°E
Muurame;62.130508880°N,;25.673565080°E
Mynämäki;60.678732788°N,;21.987506589°E
Myrskylä;60.670439657°N,;25.852102173°E
Mäntsälä;60.636084980°N,;25.320204692°E
Mänttä-Vilppula;62.036948707°N,;24.553095512°E
Mäntyharju;61.418280940°N,;26.875355649°E
Naantali;60.467709253°N,;22.018224718°E
Nakkila;61.366902193°N,;22.004075891°E
Nivala;63.929637787°N,;24.953943761°E
Nokia;61.478773769°N,;23.508499404°E
Nousiainen;60.599114832°N,;22.082180366°E
Nurmes;63.544266312°N,;29.132995571°E
Nurmijärvi;60.460806119°N,;24.807369231°E
Närpiö;62.473293481°N,;21.336718308°E
Orimattila;60.804022140°N,;25.734288563°E
Oripää;60.856350309°N,;22.697411262°E
Orivesi;61.677407146°N,;24.357389414°E
Oulainen;64.266570168°N,;24.816231983°E
Oulu;65.013784817°N,;25.472099070°E
Outokumpu;62.726024464°N,;29.015423401°E
Padasjoki;61.351408456°N,;25.277610756°E
Paimio;60.455410664°N,;22.691146855°E
Paltamo;64.409447258°N,;27.832162935°E
Parainen;60.299124907°N,;22.302301700°E
Parikkala;61.555129630°N,;29.501065813°E
Parkano;62.010623403°N,;23.021041049°E
Pedersören;kunta;63.601233473°N,
Pelkosenniemi;67.109192048°N,;27.512878531°E
Pello;66.775583504°N,;23.963477750°E
Perho;63.215274507°N,;24.423163042°E
Pertunmaa;61.503094056°N,;26.477987839°E
Petäjävesi;62.256663764°N,;25.183606514°E
Pieksämäki;62.298590826°N,;27.155481907°E
Pielavesi;63.232348566°N,;26.755606074°E
Pietarsaari;63.675221726°N,;22.702931738°E
Pihtipudas;63.370334395°N,;25.574614233°E
Pirkkala;61.465248956°N,;23.645483231°E
Polvijärvi;62.856826994°N,;29.369602563°E
Pomarkku;61.694846754°N,;22.010453708°E
Pori;61.483726303°N,;21.795900114°E
Pornainen;60.476898450°N,;25.372932372°E
Porvoo;60.395371935°N,;25.666559544°E
Posio;66.109736985°N,;28.173906419°E
Pudasjärvi;65.360947120°N,;26.999243541°E
Pukkila;60.645352853°N,;25.580407556°E
Punkalaidun;61.113272934°N,;23.100542189°E
Puolanka;64.868658767°N,;27.669071121°E
Puumala;61.521855331°N,;28.179971761°E
Pyhtää;60.492210487°N,;26.544880023°E
Pyhäjoki;64.465163558°N,;24.259197182°E
Pyhäjärvi;63.681835448°N,;25.985775658°E
Pyhäntä;64.099460341°N,;26.329977857°E
Pyhäranta;60.948266485°N,;21.440934529°E
Pälkäne;61.336821181°N,;24.270409233°E
Pöytyä;60.721369364°N,;22.599537679°E
Raahe;64.687734335°N,;24.478273101°E
Raasepori;59.974552922°N,;23.436228080°E
Raisio;60.486079651°N,;22.171068833°E
Rantasalmi;62.063413397°N,;28.304229966°E
Ranua;65.927505623°N,;26.518416699°E
Rauma;61.128737875°N,;21.511126919°E
Rautalampi;62.621137137°N,;26.835420999°E
Rautavaara;63.494210301°N,;28.298223078°E
Rautjärvi;61.433471798°N,;29.367915250°E
Reisjärvi;63.604386795°N,;24.937851054°E
Riihimäki;60.736737225°N,;24.775321449°E
Ristijärvi;64.505096191°N,;28.211768863°E
Rovaniemi;66.502790259°N,;25.728478856°E
Ruokolahti;61.292264125°N,;28.815799538°E
Ruovesi;61.984488222°N,;24.068811837°E
Rusko;60.542439512°N,;22.222515059°E
Rääkkylä;62.312677024°N,;29.626058461°E
Saarijärvi;62.705523683°N,;25.253902000°E
Salla;66.830971278°N,;28.669933096°E
Salo;60.384373601°N,;23.126727127°E
Saltvik;60.275214843°N,;20.059115249°E
Sastamala;61.340225146°N,;22.906437534°E
Sauvo;60.344506715°N,;22.691750338°E
Savitaipale;61.198742149°N,;27.686019135°E
Savonlinna;61.869802657°N,;28.878498290°E
Savukoski;67.292004821°N,;28.164370823°E
Seinäjoki;62.786662897°N,;22.842279603°E
Sievi;63.906281167°N,;24.521156852°E
Siikainen;61.877660372°N,;21.823140984°E
Siikajoki;64.663838767°N,;25.103293299°E
Siikalatva;64.272030170°N,;25.863775714°E
Siilinjärvi;63.073664705°N,;27.659698525°E
Simo;65.661270047°N,;25.062297166°E
Sipoo;60.376856973°N,;25.268516114°E
Siuntio;60.138017546°N,;24.224863347°E
Sodankylä;67.414920225°N,;26.590673697°E
Soini;62.872972290°N,;24.210173232°E
Somero;60.628290724°N,;23.517691265°E
Sonkajärvi;63.669163025°N,;27.523742906°E
Sotkamo;64.132024970°N,;28.387689851°E
Sottunga;60.129987500°N,;20.667418704°E
Sulkava;61.789726328°N,;28.378042315°E
Sund;60.250200171°N,;20.116293532°E
Suomussalmi;64.883821118°N,;28.904794739°E
Suonenjoki;62.623037446°N,;27.127576934°E
Sysmä;61.503771936°N,;25.683702910°E
Säkylä;61.048361211°N,;22.336785897°E
Taipalsaari;61.161330352°N,;28.057579346°E
Taivalkoski;65.576252124°N,;28.240598067°E
Taivassalo;60.561807633°N,;21.611197663°E
Tammela;60.808134311°N,;23.760277513°E
Tampere;61.497742570°N,;23.761290078°E
Tervo;62.952145240°N,;26.753932331°E
Tervola;66.087024017°N,;24.811064390°E
Teuva;62.484761491°N,;21.747190967°E
Tohmajärvi;62.226235418°N,;30.333057263°E
Toholampi;63.771687856°N,;24.250504148°E
Toivakka;62.097929789°N,;26.082544741°E
Tornio;65.849730180°N,;24.144091609°E
Turku;60.451690351°N,;22.266866666°E
Tuusniemi;62.812406598°N,;28.488250625°E
Tuusula;60.402369377°N,;25.025142036°E
Tyrnävä;64.763363971°N,;25.652633446°E
Ulvila;61.432652934°N,;21.888033305°E
Urjala;61.081131717°N,;23.549311266°E
Utajärvi;64.761695580°N,;26.416907969°E
Utsjoki;69.907828523°N,;27.026541275°E
Uurainen;62.500806390°N,;25.438518873°E
Uusikaarlepyy;63.523125804°N,;22.530086009°E
Uusikaupunki;60.801207736°N,;21.407727115°E
Vaala;64.560942154°N,;26.840673725°E
Vaasa;63.092588875°N,;21.615874122°E
Valkeakoski;61.270053249°N,;24.029248502°E
Valtimo;63.680306323°N,;28.813705084°E
Vantaa;60.298133721°N,;25.006641332°E
Varkaus;62.313950665°N,;27.888587335°E
Vehmaa;60.685902746°N,;21.712512133°E
Vesanto;62.931030440°N,;26.412849105°E
Vesilahti;61.305583862°N,;23.627636445°E
Veteli;63.475287314°N,;23.788625120°E
Vieremä;63.744069514°N,;27.005160452°E
Vihti;60.416791924°N,;24.319858395°E
Viitasaari;63.082792009°N,;25.855167908°E
Vimpeli;63.161927977°N,;23.820600738°E
Virolahti;60.582071101°N,;27.708871595°E
Virrat;62.238484560°N,;23.773747693°E
Vårdö;60.244351018°N,;20.375338092°E
Vöyri;63.132068002°N,;22.252456379°E
Ylitornio;66.323044983°N,;23.673012317°E
Ylivieska;64.072284496°N,;24.533690188°E
