,Target,Date,Month,Year,Town,Lat,Lon,Party,Institution
0,"Mikko Asunta
",,,1897,Haapajärvi,63.748514012,25.319573489,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Rautatiemuseon säätiö
1,"Mikko Asunta
",,,1897,Haapajärvi,63.748514012,25.319573489,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Rautatiemuseon säätiö
2,"Mikko Asunta
",,,1897,Haapajärvi,63.748514012,25.319573489,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Rautatiemuseon säätiö
3,"Mikko Asunta
",,,1897,Haapajärvi,63.748514012,25.319573489,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Rautatiemuseon säätiö
4,"Mikko Asunta
",,,1897,Haapajärvi,63.748514012,25.319573489,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Rautatiemuseon säätiö
5,"Mikko Asunta
",13,2,1972,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Työväen Arkisto
6,"Mikko Asunta
",,,1922,Nurmes,63.544266312,29.132995571,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Nurmeksen museo
7,"Mikko Asunta
",,,1964,Forssa,60.814791352,23.6164073,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Forssan museo
8,"Mikko Asunta
",,,1964,Forssa,60.814791352,23.6164073,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Forssan museo
9,"Mikko Asunta
",,,1970,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
10,"Mikko Asunta
",,,1970,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
11,"Mikko Asunta
",,,1964,Forssa,60.814791352,23.6164073,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Forssan museo
12,"Mikko Asunta
",,,1964,Forssa,60.814791352,23.6164073,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Forssan museo
13,"Mikko Asunta
",,,1960,Forssa,60.814791352,23.6164073,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Forssan museo
14,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
15,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
16,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
17,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
18,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
19,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
20,"Mikko Asunta
",,,1925,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Helsingin kaupunginmuseo
21,"Mikko Asunta
",5,4,1980,Pohja,60.096849844,23.525842,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Suomen Siirtolaisuusmuseo
22,"Mikko Asunta
",,,1881,Nurmes,63.544266312,29.132995571,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Nurmeksen museo
23,"Mikko Asunta
",,,1961,Pori,61.483726303000005,21.795900114000002,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Satakunnan Museo
24,"Mikko Asunta
",,,1888,Helsinki,60.166640738999995,24.943536799,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Museovirasto
25,"Mikko Asunta
",,,1966,Pori,61.483726303000005,21.795900114000002,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Satakunnan Museo
26,"Mikko Asunta
",12,3,2020,Aura,60.64659184600001,22.588991955,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Satakunnan Museo
27,"Mikko Asunta
",,,1968,Alastaro,60.951651961,22.863826503000002,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Alastaron Kuutamokeikka ry
28,"Mikko Asunta
",12,3,2020,Aura,60.64659184600001,22.588991955,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Satakunnan Museo
29,"Mikko Asunta
",,,1946,Lappeenranta,61.058749723999995,28.187689913000003,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",ETELÄ-KARJALAN MUSEO/EKM
30,"Mikko Asunta
",,,1930,Parikkala,61.55512963,29.501065813,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",ETELÄ-KARJALAN MUSEO/EKM
31,"Mikko Asunta
",,,1950,Jalasjärvi,62.492370733,22.762966942,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Jalasjärvi-seura ry
32,"Mikko Asunta
",,,1930,Parikkala,61.55512963,29.501065813,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",ETELÄ-KARJALAN MUSEO/EKM
33,"Mikko Asunta
",,,1904,Savitaipale,61.198742149,27.686019135,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",ETELÄ-KARJALAN MUSEO/EKM
34,"Mikko Asunta
",,,1939,Turku,60.451690351,22.266866666,"Kansallisen kokoomuksen eduskuntaryhmÃ¤
",Turun museokeskus
